Droplet-Film model,PySINDY model,XGBoost model,Liquid film model,Liquid droplet model,,Qcr,Well status,Qlattice model,,TabPFN model,Test flow rate
5394.233321045509,54725.29430551686,7682.307,29758.41195,27697.270602256478,,1161.1931564723604,Unloaded,100642.49001092496,,12456.495,10700
13173.147789581226,98214.93283,29766.854,113516.21355468083,10487.25781,,5455.071593216983,Unloaded,115531.43819459283,,9747.284,52200
13146.148357956756,-2178551.347,48953.527,113281.77752954609,11088.169408090507,,4633.392453491444,Unloaded,118687.78063675079,,26606.033,42100
32830.18032554813,32462.28897336476,33720.31,117035.96431950333,10194.450091234112,,33331.6013934192,Unloaded,114214.71021061385,,16677.4,57100
10174.524100771534,116937.91352414744,4685.315,30191.459915139643,18436.22776656288,,2439.685410549157,Unloaded,106459.8190736898,,6658.9087,22400
10339.19707328816,-52.81663395,6089.776,57052.48172278357,31543.453610931796,,2729.968312014239,Unloaded,101699.05140031439,,6140.104,23900
11354.217470352414,121047.40056008927,6279.1353,47897.43344111773,68443.26341,,3313.095503574423,Unloaded,106612.29244933298,,15979.284,26500
68615.24236,38515.663760935146,72989.164,187831.4880701646,17736.639562776498,,73399.37219298605,Unloaded,115869.94680095969,,17662.533,74600
22959.432143272083,12064.694976959669,17663.26,80397.07772472291,55387.96373096364,,17032.599773464197,Unloaded,103469.90117691018,,6049.3384,34300
23847.058866601237,138770.4199206696,7956.393,102224.56309260483,53591.53366331759,,4611.620642752723,Unloaded,146307.5983231872,,5355.846,39000
40826.443978631374,69671.51837,43852.527,242163.3354728751,11928.276175008901,,42756.28433121908,Unloaded,158638.95695334743,,20880.182,108100
26564.61064,100031.72020475121,10519.323,97410.36304642001,1676.231302292261,,6187.330251569481,Unloaded,140595.48473154657,,9488.675,56700
54465.77050320128,38078.71479879253,13119.198,189422.72381654577,17736.639562776498,,7518.861985919334,Unloaded,115869.94680095969,,17694.494,74600
22969.80403045389,11987.84879833441,5543.4478,80436.23611311227,55387.96373096364,,4351.665077556313,Unloaded,103469.90117691018,,6183.721,34300
122599.8203568153,230021.97742911635,201495.03,24160.994164703432,187481.27360914805,,122599.95278353171,Loaded,125895.74385086294,,163973.53,4900
156936.3212520159,77481.24802043187,154701.52,172807.35038568912,187657.79677611863,,156177.44742784748,Loaded,125429.45425200224,,138251.22,48600
1559399.379377112,151924.98311204588,9118.378,96492.53478993387,64084.762462049184,,173786.63179751034,Loaded,117485.66663319984,,25873.354,29300
143114.98403741006,195532.18373909942,143184.56,96703.64232317236,99150.78299093919,,143483.28472267702,Loaded,271418.7416845212,,160718.61,20200
319225.95543573215,301768.1429162546,306306.4,352165.83024786157,241333.6630862356,,316628.23617595545,Loaded,268766.8722017618,,283962.7,97600
218743.37759318674,109801.98194425696,200492.95,37843.907748423975,59610.58825578346,,200693.03283521067,Loaded,199183.21487395235,,211866.36,9900
170307.11889491254,-631852.3218,195702.58,13196.401938451938,31361.594445144805,,170313.89614963782,Loaded,181231.19213965267,,215136.44,5100
210688.81047465943,171835.9124922289,209843.4,46331.893736851605,13979.695731394977,,210593.16704648317,Loaded,181545.42282360728,,215994.56,29100
229038.81573879052,288970.5454975509,224102.4,39282.24258067423,3880.946601199311,,229045.24634502825,Loaded,181145.39976748114,,216837.83,13900
45501.86436356442,208304.1395231785,193253.33,15780.667039865939,21817.023127476667,,194545.9497170032,Loaded,99957.45261326982,,202302.1,7800
174997.92588854305,200427.54880143912,174757.36,18497.285965472194,1291.5300261116438,,174993.08921400132,Loaded,105490.81106297391,,203071.28,8600
2766.832264036324,174098.93186680553,215237.36,23832.54901096419,3900.723633,,204674.38914833457,Loaded,104506.58791805246,,201611.25,10800
227278.1747427645,241768.2205649418,225339.38,14054.113463038912,16086.50596014768,,227278.0490261708,Loaded,105289.48823515915,,206764.81,5300
234534.38920624455,182361.79306289385,230493.78,26218.20271740197,3869.8654286664905,,234531.8305583793,Loaded,105458.1730254501,,176754.44,12400
147183.53276380544,174910.24065629602,149418.28,28959.306795844124,21739.78771305796,,147225.7111142391,Loaded,105338.74272587564,,173027.88,16300
172198.2438624311,163197.95364814918,170520.84,64070.79371200918,3884.137980449444,,172212.29478986017,Loaded,138081.61291590793,,202838.25,35200
147474.76220002552,110804.98819112615,151871.03,75762.85881348667,4780.018598441007,,152391.28398978987,Loaded,139000.71254727876,,162393.27,38500
211160.19917136183,166559.04764298856,210375.39,58898.03751825369,28771.095485697057,,211206.17168315625,Loaded,138056.72466051223,,210322.52,26800
967997.1913030389,172769.92533030736,254169.81,59900.013278183505,16118.625096072707,,261113.2869604105,Loaded,137920.29764118948,,212829.86,29300
157855.38001737444,177890.98782135948,157187.34,54777.46710886658,21723.752542791928,,157667.13408977038,Loaded,138209.47671991988,,203507.7,31800
253347.1360081371,250627.76208968542,251057.6,90914.99125785576,3881.275243139917,,253309.72212229628,Loaded,181696.2794185842,,220780.23,42200
