Well no,Dia,Dev(deg),LiquidFlowrate,Gasflowrate,Area (m2),z,GasDens,Condesnate Presence,Water presence,LiquidDens,GasVis,LiqVis,g (m/s2),Test Vg,P/T,Test status,Vsg,Vsl,Rel,Reg,film thickness,"d(0,90)","d(15,90)","d(30,90)","d(45,90)","d(60,90)","d(90,90)","d(120,90)","d(150,90)","d(180,90)","d(210,90)","d(270,90)","d(360,90)",friction_factor,critical_film_thickness,Qcr,ΔQ
1,0.060325,20,0.18,10700.0,0.002858147,1.01031,40.0,0,1,1029.0,2.5e-05,0.015,9.81,1.55,0.009760727,Unloaded,43.32940188170868,0.0007289058260474,3.0164273354029723,4182153.869622521,0.0002440789912395,0.000162719327493,0.0001654915908086,0.0001736194555917,0.0001865490212893,0.0002033991593663,0.0002440789912395,0.0002847588231128,0.0003145385268874,0.000325438654986,0.0003145385268874,0.0002440789912395,0.000162719327493,0.0131184950856664,0.000325438654986,1161.1931564723604,-9538.80684352764
2,0.0620014,30,0.03,52200.0,0.003019207,1.01031,40.0,0,1,1029.0,2.5e-05,0.015,9.81,3.2,0.021834452,Unloaded,200.10645179346767,0.0001150037079272,0.4891448155124177,19851008.25636401,0.0001041821815626,5.209109078130613e-05,5.3866051657380266e-05,5.9069973635159766e-05,6.734821803174663e-05,7.813663617195919e-05,0.0001041821815626,0.0001302277269532,0.00014929438949,0.0001562732723439,0.00014929438949,0.0001041821815626,5.209109078130613e-05,0.0087765525637963,0.0001562732723439,5455.071593216983,-46744.928406783016
3,0.0620014,30,0.1,42100.0,0.003019207,1.01421,42.0,0,1,1029.0,2.5e-05,0.015,9.81,2.2,0.025713099,Unloaded,161.38853679128331,0.0003833456930909,1.6304827183747257,16810609.578018602,0.0001091175771776,5.45587885888357e-05,5.641783422866969e-05,6.186828026003515e-05,7.053868779318246e-05,8.183818288325356e-05,0.0001091175771776,0.000136396971472,0.0001563668740953,0.0001636763657665,0.0001563668740953,0.0001091175771776,5.45587885888357e-05,0.0089564448716465,0.0001636763657665,4633.392453491444,-37466.60754650856
4,0.0620014,30,0.1,57100.0,0.003019207,1.01551,39.0,0,1,1029.0,2.5e-05,0.015,9.81,3.8,0.020216401,Unloaded,218.89039075492343,0.0003833456930909,1.6304827183747257,21171556.650429603,9.92865770778412e-05,4.9643288538920606e-05,5.13348425761777e-05,5.6294228075735103e-05,6.418347111157003e-05,7.446493280838091e-05,9.92865770778412e-05,0.0001241082213473,0.0001422789260799,0.0001489298656167,0.0001422789260799,9.92865770778412e-05,4.9643288538920606e-05,0.0085985387709434,0.0001489298656167,33331.6013934192,-23768.3986065808
5,0.0620014,50,0.17,22400.0,0.003019207,1.01551,40.0,0,1,1029.0,2.5e-05,0.015,9.81,2.82,0.010686863,Unloaded,85.86943525236926,0.0006516876782545,2.7718206212370338,8518440.324569995,0.0001629887804506,2.716479674177039e-05,3.179288675677657e-05,4.536176011555283e-05,6.694672052232197e-05,9.50767885961964e-05,0.0001629887804506,0.000230900772305,0.0002806158007856,0.0002988127641594,0.0002806158007856,0.0001629887804506,2.716479674177039e-05,0.0122365292109573,0.0002988127641594,2439.685410549157,-19960.31458945084
6,0.060325,20,0.16,23900.0,0.002858147,1.01551,40.0,0,1,1029.0,2.5e-05,0.015,9.81,3.04,0.011173365,Unloaded,96.78249579185396,0.0006479162898199,2.6812687425804205,9341446.493829744,0.0001547445633692,0.0001031630422461,0.0001049206399571,0.0001100736557108,0.0001182709199991,0.0001289538028076,0.0001547445633692,0.0001805353239307,0.0001994154710276,0.0002063260844923,0.0001994154710276,0.0001547445633692,0.0001031630422461,0.0101324737233369,0.0002063260844923,2729.968312014239,-21170.03168798576
7,0.060325,45,0.2,26500.0,0.002858147,1.01421,40.0,0,1,1029.0,2.5e-05,0.015,9.81,2.12,0.01774244,Unloaded,107.31113550142804,0.0008098953622749,3.3515859282255254,10357670.798597831,0.0001452492354462,3.631230886155517e-05,4.002424462153607e-05,5.090708961369998e-05,6.82191959365826e-05,9.078077215388792e-05,0.0001452492354462,0.0001997176987385,0.0002395913812787,0.0002541861620308,0.0002395913812787,0.0001452492354462,3.631230886155517e-05,0.0113235972342207,0.0002541861620308,3313.095503574423,-23186.904496425577
8,0.060325,25,0.14,74600.0,0.002858147,1.01551,40.0,0,1,1029.0,2.5e-05,0.015,9.81,3.52,0.030120059,Unloaded,302.09097012854835,0.0005669267535924,2.346110149757868,29157820.436807487,8.109627584879878e-05,4.730616091179928e-05,4.845753115787496e-05,5.18331779165612e-05,5.720305643977359e-05,6.420121838029904e-05,8.109627584879878e-05,9.799133331729852e-05,0.000110359373781,0.0001148863907857,0.000110359373781,8.109627584879878e-05,4.730616091179928e-05,0.00785090058517,0.0001148863907857,73399.37219298605,-1200.6278070139524
9,0.060325,22,0.5,34300.0,0.002858147,1.01551,40.0,0,1,1029.0,2.5e-05,0.015,9.81,3.6,0.013541017,Unloaded,138.89705463015025,0.0020247384056873,8.378964820563814,13406343.7129021,0.0001231083624803,7.796862957091169e-05,7.950672867133422e-05,8.401620706073693e-05,9.11897512391474e-05,0.0001005384960256,0.0001231083624803,0.0001456782289351,0.0001622005179,0.0001682480953898,0.0001622005179,0.0001231083624803,7.796862957091169e-05,0.0091815025298317,0.0001682480953898,17032.599773464197,-17267.400226535803
10,0.073025,26,0.2,39000.0,0.004188254,1.01551,40.0,0,1,1029.0,2.5e-05,0.015,9.81,2.5,0.01512989,Unloaded,107.7742658396554,0.0005526885427674,2.7687015453217505,12592345.220705338,0.0001304403526272,7.391619982212685e-05,7.584221362367297e-05,8.14890003706243e-05,9.047174087793238e-05,0.0001021782762247,0.0001304403526272,0.0001587024290298,0.0001793917048839,0.0001869645054324,0.0001793917048839,0.0001304403526272,7.391619982212685e-05,0.0088382583610326,0.0001869645054324,4611.620642752723,-34388.37935724728
