Well no,Dia,Dev(deg),LiquidFlowrate,Gasflowrate,Area (m2),z,GasDens,Condesnate Presence,Water presence,LiquidDens,GasVis,LiqVis,g (m/s2),Test Vg,P/T,Test status,Vsg,Vsl,Rel,Reg,film thickness,"d(0,90)","d(15,90)","d(30,90)","d(45,90)","d(60,90)","d(90,90)","d(120,90)","d(150,90)","d(180,90)","d(210,90)","d(270,90)","d(360,90)",friction_factor,critical_film_thickness
1,0.060325,20,0.18,10700.0,0.002858147,1.01031,40.0,0,1,1029.0,2.5e-05,0.015,9.81,1.55,0.009760727,Unloaded,43.32940188170868,0.0007289058260474356,3.0164273354029723,4182153.869622521,0.00024407899123956794,0.00016271932749304532,0.0001654915908086073,0.0001736194555917195,0.00018654902128934447,0.00020339915936630663,0.00024407899123956794,0.0002847588231128292,0.00031453852688741635,0.0003254386549860906,0.00031453852688741635,0.00024407899123956794,0.00016271932749304532,0.013118495085666435,0.0003254386549860906
2,0.0620014,30,0.03,52200.0,0.003019207,1.01031,40.0,0,1,1029.0,2.5e-05,0.015,9.81,3.2,0.021834452,Unloaded,200.10645179346767,0.00011500370792728026,0.48914481551241773,19851008.25636401,0.00010418218156261225,5.2091090781306124e-05,5.3866051657380266e-05,5.9069973635159766e-05,6.734821803174663e-05,7.813663617195919e-05,0.00010418218156261225,0.0001302277269532653,0.00014929438949006472,0.00015627327234391837,0.00014929438949006475,0.00010418218156261225,5.2091090781306124e-05,0.008776552563796357,0.00015627327234391837
3,0.0620014,30,0.1,42100.0,0.003019207,1.01421,42.0,0,1,1029.0,2.5e-05,0.015,9.81,2.2,0.025713099,Unloaded,161.38853679128331,0.0003833456930909342,1.6304827183747257,16810609.578018602,0.0001091175771776714,5.45587885888357e-05,5.641783422866969e-05,6.186828026003515e-05,7.053868779318246e-05,8.183818288325356e-05,0.0001091175771776714,0.00013639697147208924,0.00015636687409530765,0.0001636763657665071,0.00015636687409530768,0.0001091175771776714,5.45587885888357e-05,0.008956444871646593,0.0001636763657665071
4,0.0620014,30,0.1,57100.0,0.003019207,1.01551,39.0,0,1,1029.0,2.5e-05,0.015,9.81,3.8,0.020216401,Unloaded,218.89039075492343,0.0003833456930909342,1.6304827183747257,21171556.650429603,9.928657707784121e-05,4.9643288538920606e-05,5.13348425761777e-05,5.6294228075735103e-05,6.418347111157003e-05,7.446493280838091e-05,9.928657707784121e-05,0.00012410822134730152,0.00014227892607994732,0.00014892986561676182,0.00014227892607994734,9.928657707784121e-05,4.9643288538920606e-05,0.008598538770943482,0.00014892986561676182
5,0.0620014,50,0.17,22400.0,0.003019207,1.01551,40.0,0,1,1029.0,2.5e-05,0.015,9.81,2.82,0.010686863,Unloaded,85.86943525236926,0.0006516876782545882,2.7718206212370338,8518440.324569995,0.00016298878045062237,2.716479674177039e-05,3.179288675677657e-05,4.536176011555283e-05,6.694672052232197e-05,9.50767885961964e-05,0.00016298878045062237,0.00023090077230504834,0.00028061580078569194,0.0002988127641594744,0.00028061580078569194,0.00016298878045062237,2.716479674177039e-05,0.012236529210957301,0.0002988127641594744
6,0.060325,20,0.16,23900.0,0.002858147,1.01551,40.0,0,1,1029.0,2.5e-05,0.015,9.81,3.04,0.011173365,Unloaded,96.78249579185396,0.0006479162898199428,2.6812687425804205,9341446.493829744,0.00015474456336923005,0.00010316304224615338,0.00010492063995717518,0.00011007365571080201,0.00011827091999918537,0.0001289538028076917,0.00015474456336923005,0.00018053532393076836,0.00019941547102765808,0.0002063260844923067,0.00019941547102765808,0.00015474456336923005,0.00010316304224615338,0.010132473723336921,0.0002063260844923067
7,0.060325,45,0.2,26500.0,0.002858147,1.01421,40.0,0,1,1029.0,2.5e-05,0.015,9.81,2.12,0.01774244,Unloaded,107.31113550142803,0.0008098953622749285,3.3515859282255254,10357670.798597833,0.00014524923544622067,3.631230886155517e-05,4.002424462153607e-05,5.090708961369998e-05,6.82191959365826e-05,9.078077215388792e-05,0.00014524923544622067,0.00019971769873855343,0.00023959138127874137,0.00025418616203088615,0.00023959138127874137,0.00014524923544622067,3.631230886155517e-05,0.011323597234220772,0.00025418616203088615
8,0.060325,25,0.14,74600.0,0.002858147,1.01551,40.0,0,1,1029.0,2.5e-05,0.015,9.81,3.52,0.030120059,Unloaded,302.09097012854835,0.00056692675359245,2.346110149757868,29157820.436807487,8.109627584879878e-05,4.7306160911799284e-05,4.8457531157874954e-05,5.18331779165612e-05,5.720305643977359e-05,6.420121838029904e-05,8.109627584879878e-05,9.799133331729853e-05,0.00011035937378103636,0.00011488639078579828,0.00011035937378103636,8.109627584879878e-05,4.7306160911799284e-05,0.007850900585170094,0.00011488639078579828
9,0.060325,22,0.5,34300.0,0.002858147,1.01551,40.0,0,1,1029.0,2.5e-05,0.015,9.81,3.6,0.013541017,Unloaded,138.89705463015025,0.0020247384056873213,8.378964820563814,13406343.7129021,0.00012310836248038688,7.796862957091169e-05,7.950672867133422e-05,8.401620706073693e-05,9.11897512391474e-05,0.00010053849602564928,0.00012310836248038688,0.0001456782289351245,0.00016220051790003686,0.00016824809538986207,0.00016220051790003686,0.00012310836248038688,7.796862957091169e-05,0.009181502529831758,0.00016824809538986207
10,0.073025,26,0.2,39000.0,0.004188254,1.01551,40.0,0,1,1029.0,2.5e-05,0.015,9.81,2.5,0.01512989,Unloaded,107.7742658396554,0.0005526885427674635,2.7687015453217505,12592345.220705338,0.00013044035262728268,7.391619982212685e-05,7.584221362367297e-05,8.14890003706243e-05,9.047174087793238e-05,0.00010217827622470477,0.00013044035262728268,0.0001587024290298606,0.00017939170488394106,0.00018696450543243852,0.00017939170488394106,0.00013044035262728268,7.391619982212685e-05,0.008838258361032665,0.00018696450543243852
