GasFlowrate,y_pred
10700.0,7682.307
52200.0,29766.854
42100.0,48953.527
57100.0,33720.31
22400.0,4685.315
23900.0,6089.776
26500.0,6279.1353
74600.0,72989.164
34300.0,17663.26
39000.0,7956.393
108100.0,43852.527
56700.0,10519.323
74600.0,13119.198
34300.0,5543.4478
4900.0,201495.03
48600.0,154701.52
29300.0,9118.378
20200.0,143184.56
97600.0,306306.4
9900.0,200492.95
5100.0,195702.58
29100.0,209843.4
13900.0,224102.4
7800.0,193253.33
8600.0,174757.36
10800.0,215237.36
5300.0,225339.38
12400.0,230493.78
16300.0,149418.28
35200.0,170520.84
38500.0,151871.03
26800.0,210375.39
29300.0,254169.81
31800.0,157187.34
42200.0,251057.6
52200.0,220300.19
41000.0,226691.94
48400.0,172645.44
20000.0,226097.77
14900.0,152504.67
16600.0,237396.17
18300.0,202854.3
16500.0,3549.073
9300.0,139241.53
8500.0,171572.7
14000.0,183581.8
2300.0,180249.34
8300.0,171052.5
10500.0,2497.573
9000.0,140457.36
7100.0,174887.72
7600.0,190415.25
10400.0,3556.8855
21500.0,3757.5417
22000.0,11618.706
2600.0,180889.67
23800.0,5717.19
9700.0,132611.1
14100.0,36593.02
24800.0,5497.307
13200.0,3026.1199
11300.0,3026.1199
16200.0,3549.073
22700.0,22309.252
50800.0,6932.1274
26100.0,4275.6587
23500.0,5029.776
23300.0,16101.745
21300.0,5997.565
21700.0,12013.675
37100.0,5024.5728
16600.0,3674.362
23300.0,5034.7603
27700.0,5070.5493
30400.0,5350.471
14300.0,37724.754
19300.0,3462.2917
13900.0,4067.5652
17200.0,3674.362
18500.0,4854.1665
17300.0,5013.1587
21900.0,3878.4324
13400.0,2581.9949
18500.0,12802.495
25200.0,5034.7603
21300.0,3609.659
28300.0,4966.315
30300.0,15784.214
34300.0,25260.682
15300.0,9104.565
26400.0,14291.401
15300.0,3501.0417
27000.0,16887.057
12000.0,160403.23
32300.0,207857.31
28500.0,152595.72
25000.0,116597.35
30600.0,176627.34
33200.0,7891.6587
18300.0,4437.5103
33600.0,8235.245
21900.0,6290.143
16083.9691,9588.058
13308.91809,241843.72
14158.4235,207130.33
162538.7018,282322.1
11808.1252,12979.44
110152.5348,349458.5
12516.04637,13844.972
78720.83466,182794.86
46382.99539,279053.03
11326.7388,227618.08
22653.4776,219838.88
20161.59506,23607.033
45505.17313,48484.56
121762.4421,371947.44
37180.02011,272505.1
21945.55643,22821.252
35311.10821,182118.44
38397.64453,256498.83
38652.49616,257540.55
156110.7775,32974.973
137138.49,382451.7
125755.1175,281783.56
83959.45136,10396.917
70027.56263,33051.91
127001.0588,27920.775
117514.9151,50958.004
100553.1237,226810.42
124877.2953,71851.086
85205.39262,188230.14
181879.1083,86292.35
125698.4838,30920.385
48478.44206,10117.3
83506.3818,9440.495
97976.29062,49658.348
141527.6013,411881.78
245563.6972,203058.67
105961.6415,58852.574
70848.75119,65642.09
50885.37406,15674.401
32224.57189,29020.205
280251.8348,213901.72
255955.98,423872.38
263035.1918,250652.69
231773.3927,499059.25
232481.3139,270376.88
333204.3386,337478.44
189779.5086,462840.16
116778.677,410645.56
101884.0155,12197.073
67535.6801,14109.026
212489.6199,199202.83
181369.405,335427.16
155770.9753,337478.62
194565.0557,227818.12
279204.1114,217090.31
82402.02477,12197.073
55472.70327,27934.15
276004.3077,164965.88
238031.4159,390077.72
201304.4653,406794.88
31601.60125,111035.08
228148.8363,280913.1
180123.4638,285451.06
164804.0495,62659.66
51083.59199,50296.24
188420.2999,106411.516
126604.6229,92478.53
43891.11285,9018.901
55019.63372,19295.705
68611.72028,46374.027
97296.68629,12909.7295
117231.7466,110789.37
145435.3262,166651.88
83223.21333,12090.94
45193.68781,52921.16
109387.98,362819.44
85630.14533,304933.47
110917.0897,13568.073
99590.3509,37237.832
94889.7543,77081.78
72123.00931,282537.2
70877.06804,203097.31
115957.4885,248054.42
92426.18861,217761.56
82543.60901,211658.95
64024.39107,246154.08
73935.28752,308118.97
82855.09432,10918.987
78409.34934,9195.55
72830.93048,9195.55
50743.78982,141346.3
51366.76046,305804.3
58587.55644,191629.45
43183.19168,221840.31
110152.5348,12623.448
90104.20715,229932.17
105508.5719,73443.38
71981.42507,234160.45
70622.21642,196701.2
220644.8718,167094.3
176159.1052,56245.645
136770.371,200374.52
95597.67547,18345.385
196688.8193,127656.74
138639.2829,271186.16
98316.09278,232607.66
